ObjectID,Precipitation,SoilProductivity,Population,ForestCover,TreeGain,TreeLoss,ProtectionLevel,Elevation,Friction,PercentPoverty,Slope,Shape_Length,Shape_Area
643,1669,267.1796802,64.52258065,58.17733564,0.000865052,0.027681661,0.352941176,5.218858131,5.679672305,40.89117647,2.086327327,0.037856,8.96E-05
644,1662.470588,113.7750865,127.4081818,11.78546713,0.016435986,0.00432526,0.700692042,72.51730104,79.16831646,27.13295848,4.658801964,0.037856,8.96E-05
645,1719.726644,232.033737,69.76216216,59.14013841,0,0.03200692,0,45.97145329,244.9671193,43.11877163,6.856706468,0.037856,8.96E-05
646,1715.4,81.71150972,120.5898876,20.41596639,0.003361345,0.014285714,0,57.99411765,418.3761509,48.13109244,10.65100644,0.037856,8.96E-05
647,2199,37.40224913,70,92.40051903,0,0.070934256,0,403.9256055,2955.987365,48.1,17.8675774,0.037856,8.96E-05
648,945,309.9766436,70,40.03373702,0.000865052,0.352076125,0,23.89792388,26.24917319,72.43512111,1.675007894,0.037856,8.96E-05
649,2061,96.08737024,70,93.99048443,0,0.194636678,0,575.1730104,9527.964851,57.7,23.27647179,0.037856,8.96E-05
650,1632.147059,317.717605,175.4699332,11.75432526,0,0.019896194,0,13.48529412,7.456268075,33.77058824,2.142241143,0.037856,8.96E-05
651,1753,160.1035549,70,56.31854481,0.007985803,0.372670807,0,20.16237799,288.5847885,43.3,6.330704263,0.037886412,8.71E-05
652,2175.176471,104.0363322,0,96.90051903,0,0.956747405,0,720.8148789,3607.788529,60.1,15.21045145,0.037856,8.96E-05
653,1583,230.4060302,91.60125786,15.94550173,0.084775087,0.010380623,0,87.8650519,104.7060928,32.27802768,4.909845715,0.037856,8.96E-05
654,1519,192,70,88.41422222,0,0.928,0.964444444,4.042666667,30.3787565,47.1,1.503545786,0.036754046,8.70E-05
655,1848,97.43598616,69.11623246,73.00778547,0,0.371972318,0,327.1288927,408.8982219,60.73019031,10.69867097,0.037856,8.96E-05
656,1614.970588,51.91109074,70.02141328,50.39446367,0.024221453,0.024221453,0,182.0553633,577.8656278,47.30138408,9.73235618,0.037856,8.96E-05
657,939,120.2352941,69.95804196,81.58319328,0,0.019327731,0.594957983,64.17815126,832.9797639,58.5,11.30510238,0.037856,8.96E-05
658,1747.411765,225.5525606,125.7169312,16.51092437,0.000840336,0.026890756,0.34789916,8.360504202,47.86387043,51.4583118,3.308806316,0.037856,8.96E-05
659,2021,67,70,75.2967128,0,0.044117647,0,294.6280277,2134.356913,40.9,13.27659109,0.037856,8.96E-05
660,1924.823529,118.9757785,70,82.44809689,0.000865052,0.027681661,0,255.783737,1542.278622,47.11349481,12.66697265,0.037856,8.96E-05
661,1836.352941,160.983564,69.52238806,56.89619377,0.025951557,0.03633218,0,167.9887543,616.4085255,43.25207612,9.979530887,0.037856,8.96E-05
662,1400.558824,47.46539792,70,66.37456747,0.002595156,0.019896194,0,210.3434256,2477.332868,73.8,18.23715247,0.037856,8.96E-05
663,975,152.2560554,0,49.85910653,0,0,0,14.6838488,208.1824979,58.1,3.121084712,0.025777449,2.33E-05
664,1230.941176,395.5555556,170.9144197,8.417820069,0.000865052,0.002595156,0,63.66782007,29.40736827,51.48581315,3.1530588,0.037856,8.96E-05
665,1693.176471,412.4469565,132.5726027,0.453287197,0.000865052,0.001730104,0.423875433,74.71280277,33.8324901,39.34411765,2.501335455,0.037856,8.96E-05
666,2292,66.18301226,70,86.54065744,0,0.029411765,0,501.6851211,9237.637822,71.86366782,17.59897597,0.037856,8.96E-05
667,2041,82.93252595,69.57647059,70.2716263,0,0.214532872,0,786.3425606,1384.920734,51.8,15.33792614,0.037856,8.96E-05
668,2025,48.80363322,70,93.90138408,0,0.011245675,0,232.9420415,2466.538763,60,12.90861551,0.037856,8.96E-05
669,1626.382353,234.1980969,94.05331179,35.81314879,0.006920415,0.019896194,0,66.01903114,107.1622165,34.63858131,5.746254603,0.037856,8.96E-05
670,925.7647059,224.604336,70,43.71539792,0.053633218,0.031141869,0,59.80882353,501.3735758,48.00423875,9.644420266,0.037856,8.96E-05
671,2029.735294,52.57958478,70,86.69463668,0,0.129757785,0,539.1202422,4547.850065,66.3,21.51464675,0.037856,8.96E-05
672,1824.235294,327.5798319,68.94654788,4.468907563,0,0.013445378,0,115.0386555,28.18213734,45.3,3.096874458,0.037856,8.96E-05
673,1895,204.0899654,67.75903614,34.98183391,0.05017301,0.012110727,0,46.66522491,505.3506188,47,8.063281521,0.037856,8.96E-05
674,1704,55.82767857,66.6,63.82266436,0.000865052,0.010380623,0,327.2846021,4269.747272,52.81453287,17.28496956,0.037856,8.96E-05
675,1556,546.4745167,69.1,7.641868512,0.001730104,0.014705882,0,8.314878893,9.023057554,40.4,1.869176451,0.037856,8.96E-05
676,1698.941176,295.266436,139.0151339,8.523356401,0.001730104,0.008650519,0,139.6470588,175.6427082,45.90051903,4.344020729,0.037856,8.96E-05
677,2057.617647,165.7185841,70,47.54152249,0,0.173875433,0,825.8131488,3323.441654,61.04930796,10.07775741,0.037856,8.96E-05
678,1744,,245.4042017,1.221008403,0,0,0,31.30084034,16.86696012,47.95184874,2.803938379,0.037856,8.96E-05
679,1157.6592,238.9836066,62.35294118,21.4176,0,0.1856,1.8096,6.9888,24.12405304,50.4,1.824570278,0.06472075,4.91E-05
680,910,173.7657658,185.9090909,29.55212355,0.001287001,0.034749035,0,3.42985843,32.90793415,21.8,2.041270751,0.033520264,6.10E-05
681,2151,83.12024221,70,87.20069204,0,0.371972318,0,804.75,2633.543236,60.1,14.83425607,0.037856,8.96E-05
682,1161,225.4740484,70.06349206,1.166089965,0,0.003460208,0,79.5017301,367.5583296,47.7,7.29295252,0.037856,8.96E-05
683,2017,46.74453782,0,92.72016807,0,0.816806723,3.902521008,695.0764706,11989.9056,34.2,18.59476793,0.037856,8.96E-05
684,2093.588235,32.85533454,70,92.95588235,0,0.649653979,1.510380623,358.4480969,6690.614225,52.80813149,18.71682141,0.037856,8.96E-05
685,1728,105.1533795,66.99545455,37.94636678,0,0.020761246,0,455.1738754,655.819858,34.1,8.548319138,0.037856,8.96E-05
686,2068,119.8823529,70,57.22318339,0.006920415,0.020761246,0,282.4974048,2709.404701,65.9,11.77940396,0.037856,8.96E-05
687,1981,228.0467128,70,73.58910035,0,0.125432526,0,242.0017301,1287.840556,62.4,6.715315484,0.037856,8.96E-05
688,1748,214.6368286,174.3591224,33.47491349,0.00432526,0.022491349,0,70.67906574,564.5472339,53.3,10.12867521,0.037856,8.96E-05
689,1322.272491,482.773516,75.16382253,2.6816609,0.007785467,0,0,43.24048443,178.3368392,62.5,4.778951162,0.037856,8.96E-05
690,2292,78.69463668,70,92.15916955,0.000865052,0.012110727,0,586.2560554,7701.837418,73.33875433,14.83430245,0.037856,8.96E-05
691,1990,56.29613734,70,65.53613445,0.006722689,0.096638655,0,212.707563,1185.267038,49.44638655,11.95909959,0.037856,8.96E-05
692,1845.882353,68.3633218,69.03333333,59.64446367,0.044117647,0.059688581,0,164.2603806,729.1723327,46.88624567,10.81118437,0.037856,8.96E-05
693,970,,245.9680672,0.177310924,0,0,0,17.60336134,5.769371848,50.60205174,2.750392301,0.037856,8.96E-05
694,1863,43,70,90.71366782,0,0.179930796,0,321.0259516,4507.353575,52.15138408,16.0744098,0.037856,8.96E-05
695,2148.852941,95.17647059,70,70.16349481,0,0.144463668,0,546.2724913,9625.234052,57.7,16.48138659,0.037856,8.96E-05
696,1799,94.38581315,68.51552795,31.47491349,0,0.035467128,0,104.9342561,653.8879162,42.6,7.798525177,0.037856,8.96E-05
697,1828.529412,166.8088235,77.92073171,34.69896194,0,0.016435986,0,49.75692042,173.1814789,55.98261246,7.516799262,0.037856,8.96E-05
