Forest Cover,Z-Score,P-Value,Spot Type
91.3693771626,1.330333286135805,0.18340848471067295,1
3.59256055363,-1.5757970061814435,0.11507259258662521,-1
42.6167820069,-0.28377621435136974,0.7765818836984907,-1
33.6064013841,-0.5820934817669612,0.5605037154447388,-1
0.361344537815,-1.6827766747015824,0.09241833209494459,-1
44.6989619377,-0.21483903475519683,0.8298928180775855,-1
91.2638408304,1.3268391706757652,0.18456188990978228,1
14.9316608997,-1.200380076331523,0.22999176305710933,-1
69.6150519031,0.6100872568545991,0.5418040076019675,1
57.7226890756,0.2163528153996609,0.8287127430553642,1
52.642733564,0.04816475428950105,0.9615849395731942,1
97.5960207612,1.5364860982384205,0.12441920474464647,1
67.8520761246,0.551718344510188,0.5811413395368847,1
91.2448096886,1.32620908428372,0.18477045109860224,1
42.339100346,-0.2929697476502294,0.7695452754933453,-1
26.7058823529,-0.8105570802888593,0.4176200728897108,-1
8.73100871731,-1.4056723600519738,0.1598214381284696,-1
94.8996539792,1.4472143122806758,0.1478369092434198,1
51.2828719723,0.0031422173865820117,0.9974928773862524,1
53.5553633218,0.07838026092638352,0.9375255747183854,1
0.0,-1.6947401332533503,0.09012472873415092,-1
83.7188581315,1.0770385556231326,0.2814630413208218,1
61.8295847751,0.3523246409999609,0.724594810559866,1
91.2906574394,1.3277270196860487,0.1842683040423695,1
15.9134948097,-1.1678733464442184,0.2428578567944375,-1
92.1539792388,1.3563100297584123,0.17500054562050338,1
20.5991596639,-1.0127395298113038,0.31118459107515517,-1
87.3226643599,1.1963540064744747,0.23155844165777206,1
82.8058823529,1.046811592868707,0.2951864825323165,1
1.99048442907,-1.6288388244661391,0.10334714337737057,-1
41.0648788927,-0.3351568957790124,0.7375067355921676,-1
86.3494809689,1.1641336794926447,0.24436984173510234,1
47.3053633218,-0.12854583902432576,0.8977170248000864,-1
18.2941176471,-1.0890552665727344,0.2761295148695724,-1
68.0666089965,0.5588211365891464,0.5762837957897815,1
37.3961937716,-0.45662036842803955,0.6479439364095292,-1
42.0171428571,-0.30362917285470964,0.7614104234988365,-1
63.9428571429,0.4222912344723537,0.6728124554143928,1
11.4429065744,-1.3158863685268027,0.18821218466535528,-1
62.8157439446,0.3849745723400034,0.7002562547078397,1
70.8633217993,0.6514151962636459,0.5147785036822152,1
93.2197231834,1.3915948678387584,0.16404511385706932,1
65.7837370242,0.4832394095627748,0.6289257560045818,1
93.6825259516,1.406917423337961,0.1594518764357986,1
52.8615916955,0.05541074782450838,0.9558112334682224,1
52.1626297578,0.032269392979347944,0.9742572173516227,1
72.134083045,0.6934877832302389,0.48800348996299503,1
82.6946366782,1.043128451492378,0.29688880512331917,1
2.12370242215,-1.6244282197059305,0.10428444840601436,-1
89.7756302521,1.2775672329360839,0.2014020602515264,1
47.8987889273,-0.10889859963920542,0.91328291736643,-1
13.8,-1.237847304562184,0.21577268446280173,-1
89.9152249135,1.2821889575532746,0.19977636889557648,1
72.5077854671,0.7058603887898051,0.480274963043541,1
13.9342560554,-1.2334023314519942,0.21742569559783076,-1
74.3434256055,0.7666350855501397,0.44329850894320744,1
39.455017301,-0.38845647667996,0.6976782566851087,-1
59.830449827,0.2861369293062815,0.7747732479513038,1
92.5302768166,1.3687685561896203,0.17107163274122095,1
30.0025951557,-0.7014089326183033,0.4830478489873621,-1
91.3667820069,1.3302473652641622,0.18343678294036947,1
76.0198961938,0.8221399688331779,0.41099723998660753,1
38.1617647059,-0.43127371120078833,0.6662693629505692,-1
41.1358131488,-0.3328083919441841,0.7392789231632666,-1
97.5553633218,1.5351400045793768,0.12474944154584862,1
45.7560553633,-0.17984059958032586,0.8572777093592293,-1
87.968907563,1.2177499401764167,0.22331901286433464,1
10.5432525952,-1.3456722708021613,0.17840823285670793,-1
3.79671280277,-1.5690378975877306,0.11663910874352115,-1
57.5432525952,0.2104120008271723,0.83334612700181,1
3.42301038062,-1.581410503148952,0.11378420749152503,-1
88.9385813149,1.2498540694092548,0.21135286037373535,1
62.5069204152,0.3747499885781225,0.7078464114105394,1
